Id,Code,Name,Class,Standard Concept Caption,Valid Start Date,Valid End Date,RC,DRC,PC,DPC,Domain,Vocabulary,Ancestors
21154282,OMOP262013,varenicline 1 MG Oral Tablet Box of 28,Clinical Drug Box,Standard,8/23/2017,12/30/2099,20,"1,220",10,830,Drug,RxNorm Extension,
21154283,OMOP262014,varenicline 1 MG Oral Tablet Box of 56,Clinical Drug Box,Standard,8/23/2017,12/30/2099,20,"3,490",10,"2,150",Drug,RxNorm Extension,
2914465,OMOP5131256,varenicline 1 MG Oral Tablet Box of 56 by APO,Marketed Product,Standard,6/29/2021,12/30/2099,0,0,0,0,Drug,RxNorm Extension,
2914466,OMOP5131257,varenicline 1 MG Oral Tablet Box of 56 by Apotex,Marketed Product,Standard,6/29/2021,12/30/2099,0,0,0,0,Drug,RxNorm Extension,
2914464,OMOP5131255,varenicline 1 MG Oral Tablet Box of 56 by Blooms The Chemist,Marketed Product,Standard,6/29/2021,12/30/2099,0,0,0,0,Drug,RxNorm Extension,
2914468,OMOP5131259,varenicline 1 MG Oral Tablet by APO,Marketed Product,Standard,6/29/2021,12/30/2099,0,0,0,0,Drug,RxNorm Extension,
2914469,OMOP5131260,varenicline 1 MG Oral Tablet by Apotex,Marketed Product,Standard,6/29/2021,12/30/2099,0,0,0,0,Drug,RxNorm Extension,
2914467,OMOP5131258,varenicline 1 MG Oral Tablet by Blooms The Chemist,Marketed Product,Standard,6/29/2021,12/30/2099,0,0,0,0,Drug,RxNorm Extension,
21085459,OMOP262016,varenicline 1 MG Oral Tablet [Champix],Branded Drug,Standard,8/23/2017,12/30/2099,"211,890","253,100","63,360","83,290",Drug,RxNorm Extension,
41244929,OMOP2442891,varenicline 1 MG Oral Tablet [Champix] Box of 112,Branded Drug Box,Standard,8/23/2017,12/30/2099,40,940,40,680,Drug,RxNorm Extension,
41100851,OMOP2298813,varenicline 1 MG Oral Tablet [Champix] Box of 112 by Cc,Marketed Product,Standard,8/23/2017,12/30/2099,0,0,0,0,Drug,RxNorm Extension,
41069368,OMOP2267330,varenicline 1 MG Oral Tablet [Champix] Box of 112 by Gerke,Marketed Product,Standard,8/23/2017,12/30/2099,0,0,0,0,Drug,RxNorm Extension,
41225864,OMOP2423826,varenicline 1 MG Oral Tablet [Champix] Box of 112 by Kohlpharma,Marketed Product,Standard,8/23/2017,12/30/2099,80,80,60,60,Drug,RxNorm Extension,
41132180,OMOP2330142,varenicline 1 MG Oral Tablet [Champix] Box of 112 by Pfizer,Marketed Product,Standard,8/23/2017,12/30/2099,820,820,580,580,Drug,RxNorm Extension,
